"Last Update Timestamp","Seniority","Key Word","Language","Priority"
9/19/2015,"Manager","comptroller","English",4
9/19/2015,"Executive","consigliere delegato","Italian",2
9/19/2015,"Contributor","conta executivo","Portuguese",2
9/19/2015,"Contributor","contratista","Spanish",3
9/19/2015,"Contributor","coordinator","English",3
9/19/2015,"Executive","country manager","English",2
9/19/2015,"Executive","CTO","English",5
9/19/2015,"Contributor","despachador","Spanish",3
9/19/2015,"Executive","directeur","French",4
9/19/2015,"Contributor","dispatcher","Italian",3
9/19/2015,"Contributor","ejecutivo de cuentas","Spanish",2
9/19/2015,"Contributor","engineer","English",4
9/19/2015,"Contributor","escriturário","Portuguese",3
3/29/2016,"Contributor","examinateur","French",3
9/19/2015,"Executive","fondateur","French",3
9/19/2015,"Manager","Führer","German",3
3/29/2016,"Contributor","G.C.","English",5
9/19/2015,"Executive","Generaldirektor","German",3
9/19/2015,"Contributor","greffier","French",3
9/19/2015,"Contributor","impiegato","Italian",3
9/19/2015,"Contributor","ingénieur","French",4
3/29/2016,"Contributor","interno","Spanish",2
3/29/2016,"Contributor","investor","English",3
9/19/2015,"Manager","lead","English",4
9/19/2015,"Manager","líder","Spanish",4
9/19/2015,"Contributor","Meister","German",3
9/19/2015,"Manager","mgr","English",5
9/19/2015,"Contributor","médico","Spanish",3
9/19/2015,"Executive","Offizier","German",3
9/19/2015,"Executive","owner","English",3
9/19/2015,"Executive","parceiro","Portuguese",4
9/19/2015,"Contributor","personnel","French",4
9/19/2015,"Executive","president","English",3
9/19/2015,"Executive","principal executivo","Portuguese",1
9/19/2015,"Contributor","produtor","Portuguese",3
9/19/2015,"Executive","proprietário","Portuguese",3
3/29/2016,"Contributor","buyer","English",2
9/19/2015,"Contributor","rappresentante","Italian",3
3/29/2016,"Contributor","Rechtsassistent","German",5
9/19/2015,"Contributor","recruteur","French",3
9/19/2015,"Contributor","reportero","Spanish",3
9/19/2015,"Contributor","Schreiber","German",3
9/19/2015,"Contributor","scrittore","Italian",4
9/19/2015,"Contributor","segretario","Italian",4
9/19/2015,"Contributor","specialista","Italian",3
9/19/2015,"Contributor","staff","English",4
9/19/2015,"Manager","sub-manager","English",3
9/19/2015,"Contributor","technologist","English",4
9/19/2015,"Contributor","tesoreria","Italian",4
9/19/2015,"Contributor","tesoureiro","Portuguese",4
3/29/2016,"Contributor","uditore","Italian",5
9/19/2015,"Contributor","Verwalter","German",3
9/19/2015,"Executive","Vorstandsmitglied","German",3
9/19/2015,"Contributor","writer","English",3
3/29/2016,"Contributor","abogado","Spanish",5
3/29/2016,"Contributor","actuary","English",5
9/19/2015,"Contributor","administrateur","French",4
3/29/2016,"Contributor","advogado","Portuguese",5
9/19/2015,"Contributor","ambassadeur","French",3
9/19/2015,"Contributor","analista","Spanish",4
9/19/2015,"Contributor","architecte","French",4
9/19/2015,"Contributor","Arzt","German",3
9/19/2015,"Contributor","assistant exécutif","French",2
9/19/2015,"Contributor","associado","Portuguese",4
3/29/2016,"Contributor","attuario","Italian",5
9/19/2015,"Contributor","Auftragnehmer","German",3
9/19/2015,"Contributor","balconista","Portuguese",3
3/29/2016,"Contributor","bibliotecario","Italian",5
9/19/2015,"Contributor","blogueur","French",3
9/19/2015,"Contributor","Buchhalter","German",3
9/19/2015,"Executive","Chairman","English",3
9/19/2015,"Executive","chief","English",3
9/19/2015,"Executive","CMO","English",5
9/19/2015,"Contributor","comptable","French",3
3/29/2016,"Contributor","conselho","Portuguese",5
9/19/2015,"Contributor","consultor","Spanish",3
9/19/2015,"Contributor","contratante","Portuguese",3
9/19/2015,"Manager","contrôleur","French",3
9/19/2015,"Contributor","coordinateur","French",3
3/29/2016,"Contributor","counsel","English",5
9/19/2015,"Executive","CSO","English",5
3/29/2016,"Contributor","deputy","English",5
9/19/2015,"Manager","dir","English",5
9/19/2015,"Contributor","dispatcher","English",3
9/19/2015,"Executive","Eigentümer","German",3
9/19/2015,"Contributor","embajador","Spanish",3
9/19/2015,"Contributor","Empfangsdame","German",3
9/19/2015,"Contributor","engenheiro","Portuguese",4
9/19/2015,"Contributor","escritor","Spanish",3
3/29/2016,"Contributor","examinador","Spanish",3
9/19/2015,"Contributor","expert","English",3
9/19/2015,"Executive","fundador","Spanish",3
3/29/2016,"Executive","G M","English",5
9/19/2015,"Executive","general manager","English",2
9/19/2015,"Executive","GM","English",5
9/19/2015,"Contributor","Hersteller","German",3
9/19/2015,"Contributor","Ingenieur","German",4
3/29/2016,"Contributor","internieren","German",2
3/29/2016,"Contributor","investitore","Italian",3
9/19/2015,"Contributor","Kundenbetreuer","German",3
9/19/2015,"Manager","liderança","Portuguese",4
9/19/2015,"Contributor","medico","Italian",3
9/19/2015,"Contributor","mestre","Portuguese",3
9/19/2015,"Contributor","médecin","French",3
9/19/2015,"Executive","officier","French",3
9/19/2015,"Executive","partenaire","French",4
9/19/2015,"Contributor","pessoal","Portuguese",4
9/19/2015,"Executive","presidenta","Spanish",3
9/19/2015,"Contributor","principale","Italian",4
9/19/2015,"Contributor","produttore","Italian",3
9/19/2015,"Executive","propriétaire","French",3
9/19/2015,"Executive","présidente","French",3
3/29/2016,"Contributor","Prüfer","German",3
3/29/2016,"Contributor","Käufer","German",2
9/19/2015,"Contributor","recepcionista","Spanish",3
9/19/2015,"Contributor","reclutador","Spanish",3
9/19/2015,"Manager","Regisseur","German",3
9/19/2015,"Contributor","representante","Spanish",3
9/19/2015,"Contributor","researcher","English",3
9/19/2015,"Contributor","Schriftsteller","German",3
9/19/2015,"Contributor","secretario","Spanish",4
9/19/2015,"Contributor","Sekretär","German",4
9/19/2015,"Contributor","Spezialist","German",3
3/29/2016,"Contributor","Stellvertreter","German",5
9/19/2015,"Manager","superviseur","French",3
9/19/2015,"Contributor","technologue","French",4
9/19/2015,"Contributor","tesorero","Spanish",4
9/19/2015,"Contributor","Treasurer","English",4
9/19/2015,"Executive","ufficiale","Italian",3
9/19/2015,"Manager","vicedirettore","Italian",3
9/19/2015,"Executive","VP","English",3
9/19/2015,"Contributor","écrivain","French",3
