"YourAutoDate","Last Update Timestamp","Marketing Job Sub-Function","Keyword","Language","Priority"
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","PR specialist","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Partner Marketing","supplier","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","prod marketing","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","syndicate","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Product Marketing","prod mkt","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","technology","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","production","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Creative Services","video","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","prospect","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","webmaster","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","public","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","public sector","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Press Relations","relation","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Salesforce.com","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","search","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","SEM","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","SEO","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Market Research","shopper","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Siebel","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","social","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Events","sponsor","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","strategy","English",5
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","success","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Demand Generation","syndication","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","system","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","technologist","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","Twitter","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Digital Marketing","web","English",3
2022-10-19T11:51:34.000Z,3/18/2021,"Corporate Marketing","writer","English",4
2022-10-19T11:51:34.000Z,3/18/2021,"Social Media","YouTube","English",1
2022-10-19T11:51:34.000Z,3/18/2021,"Marketing Operations","Zoho","English",1
