"YourAutoDate","Last Updated Date","Finance Job Sub-Function","Keyword","Language","Priority"
2022-10-19T11:38:10.000Z,3/14/2017,"Audit","reporting","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Risk Management","money laundering","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","revenue","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","payable","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Risk Management","risk","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","payment","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Compliance","sarbanese","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Financial Planning","plan","English",5
2022-10-19T11:38:10.000Z,3/14/2017,"Compliance","sox","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Financial Planning","planner","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Financial Planning","planning","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Investment","portfolio","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Risk Management","prevent","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","Quickbook","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","receivable","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","recievable","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Compliance","state","English",5
2022-10-19T11:38:10.000Z,3/14/2017,"Tax","tax","English",3
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","treasur","English",1
2022-10-19T11:38:10.000Z,3/14/2017,"Accounting","treasury","English",3
